ID,SellDate,PayMethod,PriceSold,featuresIncluded,FinishPayDate,BuyerAge,CustomerFeedback,ProductColor,ProductCategory,BuyerGender,BuyerSalary,MonthlyInstallment
0,today,loan,11800,"['morepower', 'delivery']",2046-07-10,45,I would buy it again,is yelllow,Home Appliances,Other,38906,
1,2024/03/02,loan,18000,"['morepower', 'coating', 'turbocharge']",2088-06-24,23,I'll recommend it to my friends,Iellow,Home Appliances,Male,,
2,05-12-2025,loan,13000,"['morepower', 'coating']",2040-12-08,67,I don't love this product.😠,yetlow,Automobile,Male,117797,
3,February 4th 2021,card,16000,"['morepower', 'turbocharge']",2066-01-26,32,I would have appreciated a few improvements,blacp,Automobile,Male,95846,
4,2023-03-04,cash,12000,"['coating', 'turbocharge']",2047-06-05,44,I'm good with the product.,Green,Electronics,Female,100899,
5,05/05/2024,cash,8000,,2040-08-10,42,I would buy it again,Is Orange!,Electronics,Female,105813,
6,05-06-2024,loan,16000,"['morepower', 'turbocharge']",2059-08-01,38,"For the price, it is ok",bluee 🔵,Furniture,Other,105941,
7,01-02-2025,cash,18800,"['delivery', 'morepower', 'coating', 'turbocharge']",2095-03-25,22,I would buy it again😄 ,Purplle,Fitness,Other,41357,
8,,card,8000,"['normalcharge', 'coating']",2189-04-11,4,This product is ok.,Purplle,Electronics,Female,79579,
9,2024-09-09,loan,18000,"['morepower', 'coating', 'turbocharge']",2051-11-11,,I love this product!😄 ,_purple,Home Appliances,Male,33233,
10,,card,15500,"['custom-paint', 'normalcharge', 'coating', 'morepower']",2056-11-14,40,I'm good with the product.,yetlow,Furniture,Female,47382,
11,2023-02-18,card,15000,"['morepower', 'coating', 'batteries', 'installment']",2050-02-19,49,This product is fantastic!,Is Yellov,Electronics,Other,55428,
12,23-07-2024,loan,12000,"['coating', 'turbocharge']",2039-06-17,68,This product is ok.,yetlow,,Other,32065,
13,3-09-2024,loan,22000,"['morepower', 'specialequip.', 'coating', 'turbocharge']",2067-01-21,43,I'm good with the product.,wdite ⚪,Fitness,Female,,
14,02/03/2025,cash,18000,"['normalcharge', 'specialequip.', 'coating', 'morepower']",2071-03-01,,I would buy it again,is yelllow,Home Appliances,Male,112827,
15,1-5-2025,card,19500,"['morepower', 'sunroof', 'turbocharge']",2062-03-18,43,I would buy it again,bluee 🔵,Automobile,Male,21832,
16,6-6-2025,loan,16800,"['morepower', 'delivery', 'turbocharge']",2070-12-31,30,I don't love this product.😠,,Automobile,Male,65513,
17,,card,16000,"['morepower', 'turbocharge']",2062-07-16,35,This product is ok.,"greeen,",Furniture,Other,70093,
17,,card,16000,"['morepower', 'turbocharge']",2062-07-16,35,This product is ok.,"greeen,",Furniture,Other,70093,
5,05-05-2024,cash,8000,,2040-08-10,42,I would buy it again,Is Orange!,Electronics,Female,105813,
