Weather   Temperature     Numberplayers        Play?
Sunny        Hot                 4              Yes
Sunny        Hot                 8              Yes
Sunny        Hot                 3              No
Sunny        Cold                3              No
Sunny        Cold                4              Yes
Sunny        Cold                8              Yes
Sunny        Cold                9              No
Sunny        Hot                 9              No
Windy        Hot                 3              No
Windy        Hot                 4              Yes
Windy        Hot                 5              Yes
Windy        Hot                 8              Yes
Windy        Hot                 9              No
Windy        Cold                4              No
Windy        Cold                5              No
Rainy        Cold                4              No
Rainy        Cold                5              No
Rainy        Hot                 2              No
Rainy        Hot                 4              No
Rainy        Hot                 6              Yes
Rainy        Hot                 7              Yes
Rainy        Hot                 8              Yes
Rainy        Hot                 9              No
Stormy       Hot                 4              No
Stormy       Cold                4              No
Stormy       Hot                 3              No
Stormy       Hot                 5              No
