Weather   Temperature     Numberplayers        Play?
Sunny        Cold                8              Yes
Sunny        Hot                 2              No
Windy        Hot                 8              Yes
Windy        Cold                4              No
Windy        Hot                 3              No
Sunny        Hot                 3              No
Rainy        Cold                4              No
Sunny        Hot                 4              Yes
Sunny        Hot                 5              Yes
Sunny        Hot                 10             No
Sunny        Hot                 6              Yes
Sunny        Hot                 7              Yes
Sunny        Hot                 8              Yes
Sunny        Hot                 9              No
Sunny        Cold                2              No
Sunny        Cold                3              No
Sunny        Cold                4              Yes
Sunny        Cold                5              Yes
Sunny        Cold                6              Yes
Sunny        Cold                7              Yes
Sunny        Cold                9              No
Windy        Hot                 2              No
Windy        Hot                 4              Yes
Windy        Hot                 5              Yes
Windy        Hot                 6              Yes
Windy        Hot                 7              Yes
Windy        Hot                 9              No
Windy        Cold                2              No
Windy        Cold                3              No
Windy        Cold                5              No
Windy        Cold                6              No
Rainy        Cold                3              No
Rainy        Cold                5              No
Rainy        Cold                6              No
Rainy        Hot                 2              No
Rainy        Hot                 3              No
Rainy        Hot                 4              No
Rainy        Hot                 5              No
Rainy        Hot                 6              No
Rainy        Hot                 6              No
Rainy        Hot                 7              No
Rainy        Hot                 8              No
Rainy        Hot                 9              No
Stormy       Hot                 3              No
Stormy       Hot                 4              No
Stormy       Hot                 5              No
Stormy       Hot                 6              No
Stormy       Cold                3              No
Stormy       Cold                4              No
Stormy       Cold                5              No
