income,debt_to_income_ratio,credit_utilization,late_payments,loan_amount,employment_length,age,default
59571.0,0.255,0.725,3,11960.0,22,37,0
39400.0,0.134,0.943,0,1000.0,29,72,0
66257.0,0.38,0.528,1,21717.0,3,22,0
69108.0,0.116,0.644,0,26480.0,13,36,0
25734.0,0.251,0.322,0,26921.0,7,28,0
35467.0,0.577,0.903,1,17872.0,27,67,0
56918.0,0.598,0.38,2,15368.0,16,47,0
50256.0,0.475,0.715,2,25625.0,3,70,0
54748.0,0.221,0.413,2,28459.0,21,56,0
42204.0,0.428,0.556,0,24069.0,1,51,0
68191.0,0.438,0.698,1,7468.0,8,48,0
66667.0,0.263,0.508,1,16611.0,22,31,0
55990.0,0.402,0.866,0,18516.0,15,51,0
71909.0,0.056,0.427,1,1000.0,23,58,0
62013.0,0.165,0.632,0,18755.0,17,73,0
42111.0,0.339,0.358,0,33184.0,26,50,0
60531.0,0.14,0.417,1,20119.0,17,71,0
40617.0,0.141,0.446,1,26787.0,1,72,0
68177.0,0.51,0.163,3,16463.0,2,49,0
54251.0,0.594,0.133,6,14414.0,24,44,0
52227.0,0.356,0.651,0,18050.0,1,28,0
44786.0,0.511,0.64,0,8473.0,11,35,0
73338.0,0.595,0.647,1,7290.0,0,68,0
52682.0,0.128,0.068,1,25130.0,9,28,0
48575.0,0.297,0.344,2,25979.0,18,42,0
49718.0,0.266,0.228,0,7071.0,5,58,0
62985.0,0.094,0.75,5,22744.0,14,33,0
60482.0,0.465,0.825,1,14304.0,30,73,0
61191.0,0.289,0.272,2,17718.0,2,56,0
61462.0,0.308,0.651,1,18682.0,1,22,0
87125.0,0.133,0.166,0,22955.0,8,34,0
48904.0,0.15,0.298,0,15662.0,25,60,0
47316.0,0.549,0.175,0,26281.0,12,67,0
42793.0,0.075,0.305,3,17475.0,19,71,0
64240.0,0.178,0.657,0,19993.0,1,66,0
71935.0,0.211,0.869,0,8334.0,22,25,0
53291.0,0.32,0.232,1,32269.0,2,60,0
42398.0,0.373,0.538,1,18759.0,22,26,0
42633.0,0.321,0.681,2,20704.0,4,25,0
64759.0,0.096,0.908,0,2135.0,26,58,0
66149.0,0.184,0.599,1,8418.0,9,46,0
63147.0,0.514,0.28,1,24903.0,5,55,0
45017.0,0.401,0.613,0,17295.0,10,66,0
58482.0,0.407,0.338,2,1000.0,0,24,0
56750.0,0.419,0.929,1,23306.0,5,49,0
58280.0,0.47,0.41,0,10650.0,18,66,0
68071.0,0.082,0.667,2,26291.0,9,44,0
58354.0,0.252,0.071,0,14297.0,10,49,0
65184.0,0.347,0.41,2,16638.0,25,47,0
56014.0,0.236,0.838,1,24432.0,3,69,0
59337.0,0.514,0.599,1,7820.0,12,23,0
64469.0,0.315,0.45,0,7057.0,5,68,0
33143.0,0.473,0.892,1,13428.0,14,65,0
50205.0,0.519,0.819,4,21617.0,10,64,0
47944.0,0.328,0.34,2,4353.0,1,43,0
45417.0,0.55,0.54,2,1656.0,2,48,0
50873.0,0.373,0.491,1,21590.0,26,40,0
77424.0,0.518,0.619,0,10176.0,1,34,0
42013.0,0.237,0.351,1,11862.0,24,68,0
69524.0,0.324,0.27,3,1000.0,28,48,0
29757.0,0.342,0.871,0,9568.0,14,60,0
49977.0,0.108,0.881,0,14939.0,9,26,0
57441.0,0.269,0.809,0,22443.0,24,63,0
63793.0,0.555,0.93,2,8830.0,30,56,0
65668.0,0.397,0.72,2,28259.0,3,74,0
66900.0,0.148,0.738,0,9524.0,29,28,0
49769.0,0.236,0.736,2,9535.0,29,50,0
48065.0,0.155,0.483,3,27299.0,4,48,0
67870.0,0.064,0.461,0,16692.0,1,50,0
52130.0,0.56,0.266,1,10584.0,22,23,0
35865.0,0.297,0.63,2,13759.0,2,46,0
38001.0,0.219,0.31,3,25825.0,18,37,0
41208.0,0.379,0.282,3,26730.0,2,54,0
62457.0,0.054,0.577,1,8466.0,21,33,0
57136.0,0.203,0.419,0,14661.0,7,44,0
65357.0,0.437,0.247,0,15721.0,2,54,0
48591.0,0.399,0.784,1,7110.0,2,24,0
57378.0,0.59,0.825,1,14555.0,5,63,0
64384.0,0.391,0.201,2,15043.0,16,59,0
50360.0,0.313,0.057,2,24122.0,2,24,0
61852.0,0.469,0.353,0,24659.0,24,24,0
45071.0,0.547,0.768,5,12366.0,18,66,1
49554.0,0.446,0.805,2,13288.0,9,36,0
49274.0,0.58,0.174,0,20314.0,30,67,0
37062.0,0.48,0.747,2,10318.0,20,47,0
62305.0,0.527,0.154,2,19709.0,20,39,0
47959.0,0.113,0.401,1,14297.0,5,35,0
55187.0,0.453,0.949,1,7245.0,22,56,0
62211.0,0.292,0.223,3,7345.0,17,26,0
61698.0,0.354,0.189,0,26576.0,30,42,0
64981.0,0.41,0.431,2,13749.0,14,39,0
53523.0,0.583,0.608,0,28123.0,21,29,0
48651.0,0.592,0.89,2,10891.0,10,40,0
53804.0,0.209,0.933,2,17330.0,1,49,0
29690.0,0.454,0.113,1,34141.0,3,57,0
33293.0,0.462,0.174,3,6541.0,26,25,0
35160.0,0.241,0.762,2,1000.0,22,68,0
40041.0,0.118,0.294,0,25293.0,11,68,0
60997.0,0.073,0.846,0,8386.0,21,58,0
41418.0,0.478,0.647,4,14834.0,0,70,0
49328.0,0.319,0.151,1,10313.0,1,44,0
74488.0,0.592,0.799,1,17145.0,15,65,0
49656.0,0.306,0.209,2,7396.0,19,60,0
66063.0,0.588,0.431,1,13560.0,29,51,0
40996.0,0.276,0.547,3,18599.0,23,30,0
51918.0,0.487,0.501,0,6934.0,7,51,0
40750.0,0.097,0.668,0,9399.0,25,69,0
49915.0,0.356,0.637,0,12221.0,15,74,0
67605.0,0.491,0.943,0,3569.0,25,45,0
29090.0,0.559,0.949,0,11620.0,5,34,0
61516.0,0.502,0.515,1,15950.0,0,61,0
58566.0,0.07,0.136,0,11804.0,1,25,0
46088.0,0.255,0.705,3,12829.0,30,29,0
33309.0,0.077,0.929,2,14841.0,2,51,0
56082.0,0.11,0.336,2,9754.0,29,74,0
47058.0,0.421,0.465,1,20529.0,22,38,0
58490.0,0.442,0.432,1,26488.0,4,44,0
55328.0,0.476,0.096,0,11285.0,26,38,0
79027.0,0.526,0.655,0,18882.0,4,44,0
51410.0,0.457,0.368,1,13083.0,4,21,0
39648.0,0.49,0.759,2,17924.0,17,53,0
57689.0,0.077,0.799,1,27526.0,8,53,0
58300.0,0.179,0.789,0,19069.0,9,38,0
75388.0,0.392,0.425,2,1000.0,6,35,0
67527.0,0.522,0.339,1,18632.0,18,62,0
60353.0,0.052,0.724,2,24863.0,0,31,0
76950.0,0.333,0.771,1,13227.0,7,23,0
37169.0,0.423,0.492,3,22965.0,17,23,0
45404.0,0.066,0.854,1,9479.0,15,68,0
41101.0,0.271,0.18,0,3116.0,21,40,0
49153.0,0.543,0.841,0,16129.0,6,26,0
34350.0,0.419,0.136,2,1000.0,20,68,0
64527.0,0.181,0.188,3,13082.0,23,29,0
51667.0,0.519,0.53,2,25295.0,12,39,0
32938.0,0.241,0.111,1,1000.0,7,22,0
39766.0,0.519,0.098,2,4764.0,17,57,0
59703.0,0.214,0.05,1,6744.0,17,58,0
67572.0,0.375,0.443,2,14493.0,2,61,0
84951.0,0.268,0.747,2,12074.0,17,35,0
98708.0,0.201,0.081,0,26193.0,4,38,0
61216.0,0.538,0.637,0,22635.0,17,71,0
40157.0,0.153,0.791,0,18962.0,28,65,0
23019.0,0.097,0.201,2,16165.0,16,23,0
59016.0,0.238,0.182,0,18146.0,23,58,0
42806.0,0.445,0.825,1,8104.0,9,64,0
48770.0,0.494,0.791,1,21858.0,28,51,0
45819.0,0.599,0.535,1,6104.0,25,55,0
52888.0,0.213,0.787,1,21683.0,28,21,0
70990.0,0.274,0.133,1,24489.0,22,22,0
57356.0,0.125,0.405,3,16687.0,20,22,0
52620.0,0.366,0.714,1,13590.0,16,29,0
39465.0,0.599,0.282,0,18202.0,28,74,0
29880.0,0.435,0.727,0,1000.0,26,55,0
47705.0,0.377,0.504,0,17418.0,12,63,0
54193.0,0.266,0.725,4,14093.0,2,36,0
81519.0,0.553,0.468,2,14595.0,0,71,0
56954.0,0.323,0.381,2,20652.0,7,31,0
69741.0,0.124,0.247,5,14402.0,1,69,0
47511.0,0.251,0.238,1,5878.0,6,22,0
37226.0,0.087,0.726,1,13869.0,3,22,0
40523.0,0.161,0.157,1,15540.0,30,25,0
44122.0,0.06,0.127,1,15919.0,2,63,0
86927.0,0.299,0.209,1,16295.0,19,34,0
42679.0,0.399,0.208,0,23315.0,10,45,0
67577.0,0.239,0.791,2,6312.0,5,46,0
41456.0,0.281,0.409,2,16406.0,21,63,0
68974.0,0.578,0.941,1,25319.0,30,39,0
60774.0,0.464,0.173,1,1123.0,24,21,0
52650.0,0.347,0.638,0,16437.0,30,41,0
54389.0,0.206,0.454,0,10317.0,18,36,0
45178.0,0.543,0.404,1,12034.0,20,60,0
61691.0,0.179,0.838,1,7762.0,4,61,0
